country,crop,year,yield_hg_ha,average_rain_fall_mm_per_year,pesticide_tonnes,avg_temp
albania,soybeans,1993,7998,1485.0,121.0,16.05
albania,soybeans,1994,7927,1485.0,201.0,16.96
albania,soybeans,1995,11791,1485.0,251.0,15.67
albania,soybeans,1996,15480,1485.0,313.96,15.64
albania,soybeans,1997,12768,1485.0,376.93,15.9
albania,soybeans,1998,14327,1485.0,439.89,16.27
albania,soybeans,1999,17143,1485.0,502.86,16.57
albania,soybeans,2000,15000,1485.0,565.82,16.67
albania,soybeans,2001,20000,1485.0,628.79,16.59
albania,soybeans,2002,20000,1485.0,691.75,16.47
albania,soybeans,2003,12107,1485.0,754.71,16.69
albania,soybeans,2004,13333,1485.0,817.68,16.16
albania,soybeans,2005,17500,1485.0,880.64,15.67
albania,soybeans,2006,20000,1485.0,943.61,15.92
albania,soybeans,2007,20000,1485.0,1006.57,16.67
albania,soybeans,2008,20000,1485.0,1069.54,16.71
albania,soybeans,2009,16667,1485.0,1132.5,16.73
albania,soybeans,2010,16667,1485.0,1311.17,16.52
albania,soybeans,2011,18519,1485.0,1302.63,16.45
albania,soybeans,2012,13333,1485.0,766.25,16.7
albania,soybeans,2013,10000,1485.0,982.32,17.41
albania,soybeans,2014,16908,1485.0,1365.34,16.3152427184466
albania,soybeans,2015,25000,1485.0,1300.84,16.3152427184466
albania,soybeans,2016,25152,1485.0,1419.44,16.3152427184466
albania,wheat,1990,30197,1485.0,121.0,16.37
albania,wheat,1991,20698,1485.0,121.0,15.36
albania,wheat,1992,24388,1485.0,121.0,16.06
albania,wheat,1993,29976,1485.0,121.0,16.05
albania,wheat,1994,24745,1485.0,201.0,16.96
albania,wheat,1995,28703,1485.0,251.0,15.67
albania,wheat,1996,21741,1485.0,313.96,15.64
albania,wheat,1997,28516,1485.0,376.93,15.9
albania,wheat,1998,28037,1485.0,439.89,16.27
albania,wheat,1999,24954,1485.0,502.86,16.57
albania,wheat,2000,30455,1485.0,565.82,16.67
albania,wheat,2001,28220,1485.0,628.79,16.59
albania,wheat,2002,31617,1485.0,691.75,16.47
albania,wheat,2003,28629,1485.0,754.71,16.69
albania,wheat,2004,31130,1485.0,817.68,16.16
albania,wheat,2005,31582,1485.0,880.64,15.67
albania,wheat,2006,30787,1485.0,943.61,15.92
albania,wheat,2007,35496,1485.0,1006.57,16.67
albania,wheat,2008,40168,1485.0,1069.54,16.71
albania,wheat,2009,40229,1485.0,1132.5,16.73
albania,wheat,2010,39905,1485.0,1311.17,16.52
albania,wheat,2011,42301,1485.0,1302.63,16.45
albania,wheat,2012,41096,1485.0,766.25,16.7
albania,wheat,2013,41292,1485.0,982.32,17.41
albania,wheat,2014,40001,1485.0,1365.34,16.3152427184466
albania,wheat,2015,39511,1485.0,1300.84,16.3152427184466
albania,wheat,2016,39000,1485.0,1419.44,16.3152427184466
algeria,maize,1990,16500,89.0,1828.92,17.48
algeria,maize,1991,19231,89.0,2461.8,16.26
algeria,maize,1992,22828,89.0,1215.47,16.27
algeria,maize,1993,12500,89.0,1021.89,17.0
algeria,maize,1994,4512,89.0,1255.02,17.88
algeria,maize,1995,16115,89.0,2697.09,17.36
algeria,maize,1996,17154,89.0,479.77,16.76
algeria,maize,1997,21417,89.0,401.22,17.84
algeria,maize,1998,17222,89.0,322.84,17.14
algeria,maize,1999,22375,89.0,654.45,17.97
algeria,maize,2000,36186,89.0,603.67,17.9
algeria,maize,2001,27175,89.0,710.11,18.13
algeria,maize,2002,33480,89.0,816.55,17.85
algeria,maize,2003,28853,89.0,922.99,18.07
algeria,maize,2004,31729,89.0,3747.86,17.38
algeria,maize,2005,33864,89.0,3662.87,17.19
algeria,maize,2006,65668,89.0,4110.72,18.13
algeria,maize,2007,85625,89.0,5390.79,17.42
algeria,maize,2008,44714,89.0,11556.12,17.55
algeria,maize,2009,30914,89.0,3867.99,17.78
algeria,maize,2010,25827,89.0,1295.88,17.59
algeria,maize,2011,23374,89.0,13861.76,17.79
algeria,maize,2012,25583,89.0,17379.76,17.91
algeria,maize,2013,33649,89.0,17278.65,17.65
algeria,maize,2014,26165,89.0,14258.22,17.50941176470588
algeria,maize,2015,39242,89.0,14258.22,17.50941176470588
algeria,maize,2016,45122,89.0,14258.22,17.50941176470588
algeria,potatoes,1990,78936,89.0,1828.92,17.48
algeria,potatoes,1991,90747,89.0,2461.8,16.26
algeria,potatoes,1992,107917,89.0,1215.47,16.27
algeria,potatoes,1993,111215,89.0,1021.89,17.0
algeria,potatoes,1994,95078,89.0,1255.02,17.88
algeria,potatoes,1995,136768,89.0,2697.09,17.36
algeria,potatoes,1996,134629,89.0,479.77,16.76
algeria,potatoes,1997,141042,89.0,401.22,17.84
algeria,potatoes,1998,160256,89.0,322.84,17.14
algeria,potatoes,1999,153532,89.0,654.45,17.97
algeria,potatoes,2000,166143,89.0,603.67,17.9
algeria,potatoes,2001,147018,89.0,710.11,18.13
algeria,potatoes,2002,183774,89.0,816.55,17.85
algeria,potatoes,2003,212037,89.0,922.99,18.07
algeria,potatoes,2004,203585,89.0,3747.86,17.38
algeria,potatoes,2005,216267,89.0,3662.87,17.19
algeria,potatoes,2006,220689,89.0,4110.72,18.13
algeria,potatoes,2007,189927,89.0,5390.79,17.42
algeria,potatoes,2008,236393,89.0,11556.12,17.55
algeria,potatoes,2009,250764,89.0,3867.99,17.78
algeria,potatoes,2010,270526,89.0,1295.88,17.59
algeria,potatoes,2011,292806,89.0,13861.76,17.79
algeria,potatoes,2012,304291,89.0,17379.76,17.91
algeria,potatoes,2013,303218,89.0,17278.65,17.65
algeria,potatoes,2014,299247,89.0,14258.22,17.50941176470588
algeria,potatoes,2015,296099,89.0,14258.22,17.50941176470588
algeria,potatoes,2016,306198,89.0,14258.22,17.50941176470588
algeria,"rice, paddy",1990,28000,89.0,1828.92,17.48
algeria,"rice, paddy",1991,26786,89.0,2461.8,16.26
algeria,"rice, paddy",1992,24733,89.0,1215.47,16.27
algeria,"rice, paddy",1993,23111,89.0,1021.89,17.0
algeria,"rice, paddy",1994,21374,89.0,1255.02,17.88
algeria,"rice, paddy",1995,19598,89.0,2697.09,17.36
algeria,"rice, paddy",1996,17861,89.0,479.77,16.76
algeria,"rice, paddy",1997,15000,89.0,401.22,17.84
algeria,"rice, paddy",1998,15000,89.0,322.84,17.14
algeria,"rice, paddy",1999,13942,89.0,654.45,17.97
algeria,"rice, paddy",2000,13052,89.0,603.67,17.9
algeria,"rice, paddy",2001,12314,89.0,710.11,18.13
algeria,"rice, paddy",2002,12959,89.0,816.55,17.85
algeria,"rice, paddy",2003,12783,89.0,922.99,18.07
algeria,"rice, paddy",2004,12829,89.0,3747.86,17.38
algeria,"rice, paddy",2005,12998,89.0,3662.87,17.19
algeria,"rice, paddy",2006,12769,89.0,4110.72,18.13
algeria,"rice, paddy",2007,13375,89.0,5390.79,17.42
algeria,"rice, paddy",2008,13952,89.0,11556.12,17.55
algeria,"rice, paddy",2009,14594,89.0,3867.99,17.78
algeria,"rice, paddy",2010,15305,89.0,1295.88,17.59
algeria,"rice, paddy",2011,16081,89.0,13861.76,17.79
algeria,"rice, paddy",2012,16667,89.0,17379.76,17.91
algeria,"rice, paddy",2013,17778,89.0,17278.65,17.65
algeria,"rice, paddy",2014,17778,89.0,14258.22,17.50941176470588
algeria,"rice, paddy",2015,17579,89.0,14258.22,17.50941176470588
algeria,"rice, paddy",2016,17502,89.0,14258.22,17.50941176470588
algeria,sorghum,1990,16571,89.0,1828.92,17.48
algeria,sorghum,1991,24231,89.0,2461.8,16.26
algeria,sorghum,1992,40000,89.0,1215.47,16.27
algeria,sorghum,1993,50000,89.0,1021.89,17.0
algeria,sorghum,1995,12667,89.0,2697.09,17.36
algeria,sorghum,1996,14750,89.0,479.77,16.76
algeria,sorghum,1997,40000,89.0,401.22,17.84
algeria,sorghum,1998,24500,89.0,322.84,17.14
algeria,sorghum,1999,27000,89.0,654.45,17.97
algeria,sorghum,2000,69500,89.0,603.67,17.9
algeria,sorghum,2001,27750,89.0,710.11,18.13
algeria,sorghum,2002,33900,89.0,816.55,17.85
algeria,sorghum,2003,26391,89.0,922.99,18.07
algeria,sorghum,2004,43316,89.0,3747.86,17.38
algeria,sorghum,2005,33486,89.0,3662.87,17.19
algeria,sorghum,2006,56728,89.0,4110.72,18.13
algeria,sorghum,2007,119059,89.0,5390.79,17.42
algeria,sorghum,2008,61786,89.0,11556.12,17.55
algeria,sorghum,2009,90465,89.0,3867.99,17.78
algeria,sorghum,2010,30286,89.0,1295.88,17.59
algeria,sorghum,2011,100000,89.0,13861.76,17.79
algeria,sorghum,2012,206000,89.0,17379.76,17.91
algeria,sorghum,2013,60000,89.0,17278.65,17.65
algeria,sorghum,2014,62000,89.0,14258.22,17.50941176470588
algeria,sorghum,2015,121689,89.0,14258.22,17.50941176470588
algeria,sorghum,2016,255800,89.0,14258.22,17.50941176470588
algeria,wheat,1990,6315,89.0,1828.92,17.48
algeria,wheat,1991,10809,89.0,2461.8,16.26
algeria,wheat,1992,9939,89.0,1215.47,16.27
algeria,wheat,1993,8097,89.0,1021.89,17.0
algeria,wheat,1994,7999,89.0,1255.02,17.88
algeria,wheat,1995,8924,89.0,2697.09,17.36
algeria,wheat,1996,13090,89.0,479.77,16.76
algeria,wheat,1997,8016,89.0,401.22,17.84
algeria,wheat,1998,8847,89.0,322.84,17.14
algeria,wheat,1999,10711,89.0,654.45,17.97
algeria,wheat,2000,9194,89.0,603.67,17.9
algeria,wheat,2001,11104,89.0,710.11,18.13
algeria,wheat,2002,10739,89.0,816.55,17.85
algeria,wheat,2003,14480,89.0,922.99,18.07
algeria,wheat,2004,13582,89.0,3747.86,17.38
algeria,wheat,2005,15057,89.0,3662.87,17.19
algeria,wheat,2006,15068,89.0,4110.72,18.13
algeria,wheat,2007,12742,89.0,5390.79,17.42
algeria,wheat,2008,11038,89.0,11556.12,17.55
algeria,wheat,2009,15975,89.0,3867.99,17.78
algeria,wheat,2010,14838,89.0,1295.88,17.59
algeria,wheat,2011,17405,89.0,13861.76,17.79
algeria,wheat,2012,17639,89.0,17379.76,17.91
algeria,wheat,2013,19100,89.0,17278.65,17.65
algeria,wheat,2014,14753,89.0,14258.22,17.50941176470588
algeria,wheat,2015,14640,89.0,14258.22,17.50941176470588
algeria,wheat,2016,16912,89.0,14258.22,17.50941176470588
angola,cassava,1990,41177,1010.0,64.0,24.12
angola,cassava,1991,40295,1010.0,79.0,24.02
angola,cassava,1992,42295,1010.0,23.0,23.96
angola,cassava,1993,42295,1010.0,169.0,24.15
angola,cassava,1994,58596,1010.0,25.5,24.04
angola,cassava,1995,51000,1010.0,336.0,24.56
angola,cassava,1996,48077,1010.0,40.0,24.11
angola,cassava,1997,44205,1010.0,40.0,24.06
angola,cassava,1998,55728,1010.0,40.0,24.96
angola,cassava,1999,59821,1010.0,40.0,24.37
angola,cassava,2000,82992,1010.0,40.0,24.41
angola,cassava,2001,94072,1010.0,40.0,24.43
angola,cassava,2002,110071,1010.0,40.0,24.79
angola,cassava,2003,95667,1010.0,40.0,24.87
angola,cassava,2004,125605,1010.0,40.0,24.22
angola,cassava,2005,117628,1010.0,40.0,24.41
angola,cassava,2006,117201,1010.0,40.0,24.14
angola,cassava,2007,115387,1010.0,40.0,24.24
angola,cassava,2008,148084,1010.0,40.0,24.27
angola,cassava,2009,151759,1010.0,40.0,24.33
angola,cassava,2010,155782,1010.0,40.0,24.44
angola,cassava,2011,133649,1010.0,40.0,24.15
angola,cassava,2012,100073,1010.0,40.0,24.24
angola,cassava,2013,140517,1010.0,40.0,24.55
angola,cassava,2014,101060,1010.0,40.0,24.33732558139535
angola,cassava,2015,101331,1010.0,40.0,24.33732558139535
angola,cassava,2016,108518,1010.0,40.0,24.33732558139535
angola,maize,1990,2736,1010.0,64.0,24.12
angola,maize,1991,4013,1010.0,79.0,24.02
angola,maize,1992,3778,1010.0,23.0,23.96
angola,maize,1993,2627,1010.0,169.0,24.15
angola,maize,1994,2463,1010.0,25.5,24.04
angola,maize,1995,3517,1010.0,336.0,24.56
angola,maize,1996,6993,1010.0,40.0,24.11
angola,maize,1997,5959,1010.0,40.0,24.06
angola,maize,1998,7396,1010.0,40.0,24.96
angola,maize,1999,6361,1010.0,40.0,24.37
angola,maize,2000,5745,1010.0,40.0,24.41
angola,maize,2001,5754,1010.0,40.0,24.43
angola,maize,2002,6706,1010.0,40.0,24.79
angola,maize,2003,7559,1010.0,40.0,24.87
angola,maize,2004,5404,1010.0,40.0,24.22
angola,maize,2005,6736,1010.0,40.0,24.41
angola,maize,2006,4687,1010.0,40.0,24.14
angola,maize,2007,5091,1010.0,40.0,24.24
angola,maize,2008,7946,1010.0,40.0,24.27
angola,maize,2009,6614,1010.0,40.0,24.33
angola,maize,2010,7200,1010.0,40.0,24.44
angola,maize,2011,7376,1010.0,40.0,24.15
angola,maize,2012,7770,1010.0,40.0,24.24
angola,maize,2013,9467,1010.0,40.0,24.55
angola,maize,2014,10386,1010.0,40.0,24.33732558139535
angola,maize,2015,11234,1010.0,40.0,24.33732558139535
angola,maize,2016,10789,1010.0,40.0,24.33732558139535
angola,potatoes,1990,40000,1010.0,64.0,24.12
angola,potatoes,1991,40000,1010.0,79.0,24.02
angola,potatoes,1992,40000,1010.0,23.0,23.96
angola,potatoes,1993,70000,1010.0,169.0,24.15
angola,potatoes,1994,90000,1010.0,25.5,24.04
angola,potatoes,1995,76738,1010.0,336.0,24.56
angola,potatoes,1996,70000,1010.0,40.0,24.11
angola,potatoes,1997,68571,1010.0,40.0,24.06
angola,potatoes,1998,62724,1010.0,40.0,24.96
angola,potatoes,1999,54597,1010.0,40.0,24.37
angola,potatoes,2000,29885,1010.0,40.0,24.41
angola,potatoes,2001,42552,1010.0,40.0,24.43
angola,potatoes,2002,42754,1010.0,40.0,24.79
angola,potatoes,2003,45212,1010.0,40.0,24.87
angola,potatoes,2004,20150,1010.0,40.0,24.22
angola,potatoes,2005,23646,1010.0,40.0,24.41
angola,potatoes,2006,52148,1010.0,40.0,24.14
angola,potatoes,2007,62138,1010.0,40.0,24.24
angola,potatoes,2008,85085,1010.0,40.0,24.27
angola,potatoes,2009,86509,1010.0,40.0,24.33
angola,potatoes,2010,87425,1010.0,40.0,24.44
angola,potatoes,2011,81366,1010.0,40.0,24.15
angola,potatoes,2012,69381,1010.0,40.0,24.24
angola,potatoes,2013,63303,1010.0,40.0,24.55
angola,potatoes,2014,63239,1010.0,40.0,24.33732558139535
angola,potatoes,2015,62866,1010.0,40.0,24.33732558139535
angola,potatoes,2016,58913,1010.0,40.0,24.33732558139535
angola,"rice, paddy",1990,9512,1010.0,64.0,24.12
angola,"rice, paddy",1991,10000,1010.0,79.0,24.02
angola,"rice, paddy",1992,9106,1010.0,23.0,23.96
angola,"rice, paddy",1993,8000,1010.0,169.0,24.15
angola,"rice, paddy",1994,8750,1010.0,25.5,24.04
angola,"rice, paddy",1995,14615,1010.0,336.0,24.56
angola,"rice, paddy",1996,17500,1010.0,40.0,24.11
angola,"rice, paddy",1997,20000,1010.0,40.0,24.06
angola,"rice, paddy",1998,20000,1010.0,40.0,24.96
angola,"rice, paddy",1999,14235,1010.0,40.0,24.37
angola,"rice, paddy",2000,13454,1010.0,40.0,24.41
angola,"rice, paddy",2001,13701,1010.0,40.0,24.43
angola,"rice, paddy",2002,13198,1010.0,40.0,24.79
angola,"rice, paddy",2003,13768,1010.0,40.0,24.87
angola,"rice, paddy",2004,11584,1010.0,40.0,24.22
angola,"rice, paddy",2005,6977,1010.0,40.0,24.41
angola,"rice, paddy",2006,4947,1010.0,40.0,24.14
angola,"rice, paddy",2007,5143,1010.0,40.0,24.24
angola,"rice, paddy",2008,5084,1010.0,40.0,24.27
angola,"rice, paddy",2009,6028,1010.0,40.0,24.33
angola,"rice, paddy",2010,7403,1010.0,40.0,24.44
angola,"rice, paddy",2011,8914,1010.0,40.0,24.15
angola,"rice, paddy",2012,7703,1010.0,40.0,24.24
angola,"rice, paddy",2013,12744,1010.0,40.0,24.55
angola,"rice, paddy",2014,14064,1010.0,40.0,24.33732558139535
angola,"rice, paddy",2015,15068,1010.0,40.0,24.33732558139535
angola,"rice, paddy",2016,15477,1010.0,40.0,24.33732558139535
angola,sorghum,2000,3333,1010.0,40.0,24.41
angola,sorghum,2001,3571,1010.0,40.0,24.43
angola,sorghum,2002,3400,1010.0,40.0,24.79
angola,sorghum,2003,2941,1010.0,40.0,24.87
angola,sorghum,2004,3333,1010.0,40.0,24.22
angola,sorghum,2005,3333,1010.0,40.0,24.41
angola,sorghum,2006,4091,1010.0,40.0,24.14
angola,sorghum,2007,4031,1010.0,40.0,24.24
angola,sorghum,2008,929,1010.0,40.0,24.27
angola,sorghum,2009,2480,1010.0,40.0,24.33
angola,sorghum,2010,2814,1010.0,40.0,24.44
angola,sorghum,2011,3320,1010.0,40.0,24.15
angola,sorghum,2012,998,1010.0,40.0,24.24
angola,sorghum,2013,2415,1010.0,40.0,24.55
angola,sorghum,2014,2421,1010.0,40.0,24.33732558139535
angola,sorghum,2015,2503,1010.0,40.0,24.33732558139535
angola,sorghum,2016,2329,1010.0,40.0,24.33732558139535
angola,soybeans,2000,2333,1010.0,40.0,24.41
angola,soybeans,2001,2500,1010.0,40.0,24.43
angola,soybeans,2002,2857,1010.0,40.0,24.79
angola,soybeans,2003,3250,1010.0,40.0,24.87
angola,soybeans,2004,3600,1010.0,40.0,24.22
angola,soybeans,2005,3793,1010.0,40.0,24.41
angola,soybeans,2006,4286,1010.0,40.0,24.14
angola,soybeans,2007,6883,1010.0,40.0,24.24
angola,soybeans,2008,8575,1010.0,40.0,24.27
angola,soybeans,2009,4449,1010.0,40.0,24.33
angola,soybeans,2010,4446,1010.0,40.0,24.44
angola,soybeans,2011,5294,1010.0,40.0,24.15
angola,soybeans,2012,1641,1010.0,40.0,24.24
angola,soybeans,2013,4405,1010.0,40.0,24.55
angola,soybeans,2014,5840,1010.0,40.0,24.33732558139535
angola,soybeans,2015,6513,1010.0,40.0,24.33732558139535
angola,soybeans,2016,6175,1010.0,40.0,24.33732558139535
angola,sweet potatoes,1990,89342,1010.0,64.0,24.12
angola,sweet potatoes,1991,83001,1010.0,79.0,24.02
angola,sweet potatoes,1992,90000,1010.0,23.0,23.96
angola,sweet potatoes,1993,88095,1010.0,169.0,24.15
angola,sweet potatoes,1994,83192,1010.0,25.5,24.04
angola,sweet potatoes,1995,81138,1010.0,336.0,24.56
angola,sweet potatoes,1996,85455,1010.0,40.0,24.11
angola,sweet potatoes,1997,78098,1010.0,40.0,24.06
angola,sweet potatoes,1998,76256,1010.0,40.0,24.96
angola,sweet potatoes,1999,82865,1010.0,40.0,24.37
angola,sweet potatoes,2000,34938,1010.0,40.0,24.41
angola,sweet potatoes,2001,44458,1010.0,40.0,24.43
angola,sweet potatoes,2002,42190,1010.0,40.0,24.79
angola,sweet potatoes,2003,38231,1010.0,40.0,24.87
angola,sweet potatoes,2004,45360,1010.0,40.0,24.22
angola,sweet potatoes,2005,46159,1010.0,40.0,24.41
angola,sweet potatoes,2006,44240,1010.0,40.0,24.14
angola,sweet potatoes,2007,58855,1010.0,40.0,24.24
angola,sweet potatoes,2008,65437,1010.0,40.0,24.27
angola,sweet potatoes,2009,66475,1010.0,40.0,24.33
angola,sweet potatoes,2010,63001,1010.0,40.0,24.44
angola,sweet potatoes,2011,65512,1010.0,40.0,24.15
angola,sweet potatoes,2012,52954,1010.0,40.0,24.24
angola,sweet potatoes,2013,73409,1010.0,40.0,24.55
angola,sweet potatoes,2014,114342,1010.0,40.0,24.33732558139535
angola,sweet potatoes,2015,115174,1010.0,40.0,24.33732558139535
angola,sweet potatoes,2016,98432,1010.0,40.0,24.33732558139535
angola,wheat,1990,7995,1010.0,64.0,24.12
angola,wheat,1991,8000,1010.0,79.0,24.02
angola,wheat,1992,8000,1010.0,23.0,23.96
angola,wheat,1993,8876,1010.0,169.0,24.15
angola,wheat,1994,10000,1010.0,25.5,24.04
angola,wheat,1995,11855,1010.0,336.0,24.56
angola,wheat,1996,13738,1010.0,40.0,24.11
angola,wheat,1997,15509,1010.0,40.0,24.06
angola,wheat,1998,17143,1010.0,40.0,24.96
angola,wheat,1999,17391,1010.0,40.0,24.37
angola,wheat,2000,17023,1010.0,40.0,24.41
angola,wheat,2001,16667,1010.0,40.0,24.43
angola,wheat,2002,15455,1010.0,40.0,24.79
angola,wheat,2003,13898,1010.0,40.0,24.87
angola,wheat,2004,12442,1010.0,40.0,24.22
angola,wheat,2005,10946,1010.0,40.0,24.41
angola,wheat,2006,10000,1010.0,40.0,24.14
angola,wheat,2007,10000,1010.0,40.0,24.24
angola,wheat,2008,10000,1010.0,40.0,24.27
angola,wheat,2009,10000,1010.0,40.0,24.33
angola,wheat,2010,10526,1010.0,40.0,24.44
angola,wheat,2011,10959,1010.0,40.0,24.15
angola,wheat,2012,11258,1010.0,40.0,24.24
angola,wheat,2013,9022,1010.0,40.0,24.55
angola,wheat,2014,8264,1010.0,40.0,24.33732558139535
angola,wheat,2015,7766,1010.0,40.0,24.33732558139535
angola,wheat,2016,7269,1010.0,40.0,24.33732558139535
argentina,cassava,1990,100000,591.0,26156.0,17.565
argentina,cassava,1991,100000,591.0,26156.0,17.75
argentina,cassava,1992,100000,591.0,26156.0,17.3
argentina,cassava,1993,100000,591.0,26156.0,17.425
argentina,cassava,1994,100000,591.0,30195.0,18.240000000000002
argentina,cassava,1995,100000,591.0,37842.0,17.68
argentina,cassava,1996,100000,591.0,54595.0,17.805
argentina,cassava,1997,100000,591.0,77691.0,18.415
argentina,cassava,1998,100000,591.0,62397.0,17.375
argentina,cassava,1999,100000,591.0,62831.39,17.43
argentina,cassava,2000,100000,591.0,63265.78,17.32
argentina,cassava,2001,100000,591.0,63700.17,18.065
argentina,cassava,2002,100000,591.0,64134.56,17.825
argentina,cassava,2003,100000,591.0,64568.95,17.86
argentina,cassava,2004,100000,591.0,65003.34,17.89
argentina,cassava,2005,100000,591.0,65437.73,17.575
argentina,cassava,2006,100000,591.0,65872.12,18.225
argentina,cassava,2007,100000,591.0,81582.64,16.925
argentina,cassava,2008,100000,591.0,87149.01,18.05
argentina,cassava,2009,101695,591.0,61586.56,18.125
argentina,cassava,2010,101000,591.0,105915.04,17.585
argentina,cassava,2011,100000,591.0,100424.62,17.755
argentina,cassava,2012,100000,591.0,136185.08,18.305
argentina,cassava,2013,99459,591.0,171945.54,16.665
argentina,cassava,2014,99804,591.0,207706.0,17.714791666666667
argentina,cassava,2015,100147,591.0,207706.0,17.714791666666667
argentina,cassava,2016,100127,591.0,207706.0,17.714791666666667
argentina,maize,1990,34608,591.0,26156.0,17.565
argentina,maize,1991,40444,591.0,26156.0,17.75
argentina,maize,1992,45237,591.0,26156.0,17.3
argentina,maize,1993,43552,591.0,26156.0,17.425
argentina,maize,1994,42371,591.0,30195.0,18.240000000000002
argentina,maize,1995,45223,591.0,37842.0,17.68
argentina,maize,1996,40397,591.0,54595.0,17.805
argentina,maize,1997,45557,591.0,77691.0,18.415
argentina,maize,1998,60780,591.0,62397.0,17.375
argentina,maize,1999,53702,591.0,62831.39,17.43
argentina,maize,2000,54329,591.0,63265.78,17.32
argentina,maize,2001,54553,591.0,63700.17,18.065
argentina,maize,2002,60791,591.0,64134.56,17.825
argentina,maize,2003,64767,591.0,64568.95,17.86
argentina,maize,2004,63931,591.0,65003.34,17.89
argentina,maize,2005,73587,591.0,65437.73,17.575
argentina,maize,2006,59030,591.0,65872.12,18.225
argentina,maize,2007,76655,591.0,81582.64,16.925
argentina,maize,2008,64525,591.0,87149.01,18.05
argentina,maize,2009,55760,591.0,61586.56,18.125
argentina,maize,2010,78040,591.0,105915.04,17.585
argentina,maize,2011,63503,591.0,100424.62,17.755
argentina,maize,2012,57346,591.0,136185.08,18.305
argentina,maize,2013,66037,591.0,171945.54,16.665
argentina,maize,2014,68409,591.0,207706.0,17.714791666666667
argentina,maize,2015,73090,591.0,207706.0,17.714791666666667
argentina,maize,2016,74427,591.0,207706.0,17.714791666666667
argentina,potatoes,1990,202747,591.0,26156.0,17.565
argentina,potatoes,1991,205692,591.0,26156.0,17.75
argentina,potatoes,1992,199039,591.0,26156.0,17.3
argentina,potatoes,1993,210314,591.0,26156.0,17.425
